시도명,년도,노인인구_기관수_비율
강원특별자치도,2008,0.005100453844957514
강원특별자치도,2009,0.005194015830697186
강원특별자치도,2010,0.005222543197988552
강원특별자치도,2011,0.005346152708728325
강원특별자치도,2012,0.0053252211001693535
강원특별자치도,2013,0.005438407159053705
강원특별자치도,2014,0.005421203704779724
강원특별자치도,2015,0.005389155191044859
강원특별자치도,2016,0.005359474008934222
강원특별자치도,2017,0.005295573011706136
강원특별자치도,2018,0.005290369701221446
강원특별자치도,2019,0.005225190630314334
강원특별자치도,2020,0.005197570564013383
강원특별자치도,2021,0.005158012160693995
강원특별자치도,2022,0.005115299286018649
강원특별자치도,2023,0.005084126249645181
강원특별자치도,2024,0.0050766410251564
경기도,2008,0.0071231656336915705
경기도,2009,0.0072528605629170705
경기도,2010,0.007286341046639725
경기도,2011,0.007468554761120853
경기도,2012,0.007450431403206208
경기도,2013,0.0075374598373811625
경기도,2014,0.007535683296875483
경기도,2015,0.007422151325933141
경기도,2016,0.0074439793961371915
경기도,2017,0.007417764435488661
경기도,2018,0.007356701361307237
경기도,2019,0.007319986028374493
경기도,2020,0.007151984006901537
경기도,2021,0.007073572458462111
경기도,2022,0.007102558402929938
경기도,2023,0.007108668015225281
경기도,2024,0.007064029861416928
경상남도,2008,0.005633609427310285
경상남도,2009,0.005731395853991619
경상남도,2010,0.005760334166754001
경상남도,2011,0.005870834397546603
경상남도,2012,0.0059193771122044644
경상남도,2013,0.00596537003883687
경상남도,2014,0.006007948682638758
경상남도,2015,0.006000653401104704
경상남도,2016,0.006051305808095431
경상남도,2017,0.006044569430846528
경상남도,2018,0.006052094608478953
경상남도,2019,0.00600010197064489
경상남도,2020,0.00585489042067035
경상남도,2021,0.0057517854127834105
경상남도,2022,0.005670528159083622
경상남도,2023,0.005645360764742685
경상남도,2024,0.005636490640405989
경상북도,2008,0.004851567187633932
경상북도,2009,0.004910549911280758
경상북도,2010,0.004921365912536192
경상북도,2011,0.005002435511509982
경상북도,2012,0.005039201300962536
경상북도,2013,0.0050836884820482766
경상북도,2014,0.005105631853575287
경상북도,2015,0.005143865590670512
경상북도,2016,0.0051373720411106785
경상북도,2017,0.005147251005421265
경상북도,2018,0.0051856061787793
경상북도,2019,0.005155841429693189
경상북도,2020,0.0050652586571850325
경상북도,2021,0.004980769391211486
경상북도,2022,0.004949991915552168
경상북도,2023,0.005017102460584396
경상북도,2024,0.0050239287701725095
광주광역시,2008,0.00726007890375143
광주광역시,2009,0.007417756045637495
광주광역시,2010,0.00748107403846659
광주광역시,2011,0.007669324219796664
광주광역시,2012,0.007663370437982573
광주광역시,2013,0.007980564213812229
광주광역시,2014,0.008279537840735682
광주광역시,2015,0.00839831272185719
광주광역시,2016,0.00859147573373713
광주광역시,2017,0.00865987475896682
광주광역시,2018,0.00874294065375605
광주광역시,2019,0.008747532903324619
광주광역시,2020,0.008628562950262946
광주광역시,2021,0.008581841229599112
광주광역시,2022,0.00873037502947382
광주광역시,2023,0.008701551530883134
광주광역시,2024,0.008660618071292297
대구광역시,2008,0.00773014122199519
대구광역시,2009,0.007806585511184546
대구광역시,2010,0.007861244528666647
대구광역시,2011,0.00802506617459579
대구광역시,2012,0.00795530893074875
대구광역시,2013,0.00800140977219796
대구광역시,2014,0.008064699955778638
대구광역시,2015,0.008036175766475133
대구광역시,2016,0.008151759865914978
대구광역시,2017,0.008213455803692137
대구광역시,2018,0.00829036156334677
대구광역시,2019,0.008238635351300115
대구광역시,2020,0.008124809017757105
대구광역시,2021,0.00811229040532101
대구광역시,2022,0.008104898020183587
대구광역시,2023,0.007990010252008678
대구광역시,2024,0.00798815078982751
대전광역시,2008,0.0088603816869839
대전광역시,2009,0.008914765464075785
대전광역시,2010,0.008889498883533839
대전광역시,2011,0.008987645795355876
대전광역시,2012,0.009036217003861672
대전광역시,2013,0.009031836764726171
대전광역시,2014,0.008966152989877204
대전광역시,2015,0.008944220736307625
대전광역시,2016,0.008961360447990301
대전광역시,2017,0.008898047802167474
대전광역시,2018,0.008903783056170953
대전광역시,2019,0.00884145631035642
대전광역시,2020,0.008660042118006079
대전광역시,2021,0.00857030265291327
대전광역시,2022,0.008488571519468763
대전광역시,2023,0.008424094927899493
대전광역시,2024,0.008429292397992075
부산광역시,2008,0.005725754197308301
부산광역시,2009,0.005760415542506949
부산광역시,2010,0.005759907708106883
부산광역시,2011,0.005889289066072016
부산광역시,2012,0.005907722650531269
부산광역시,2013,0.006045378229642758
부산광역시,2014,0.006110225638234657
부산광역시,2015,0.006114174973185744
부산광역시,2016,0.006191872947674542
부산광역시,2017,0.006270692449627984
부산광역시,2018,0.0063979811984232115
부산광역시,2019,0.006383537078749973
부산광역시,2020,0.0063852852282055405
부산광역시,2021,0.006457164401777317
부산광역시,2022,0.006615367036638653
부산광역시,2023,0.006729872118977682
부산광역시,2024,0.006823588565939467
서울특별시,2008,0.0077835588239237
서울특별시,2009,0.007896659629898667
서울특별시,2010,0.007889453281024972
서울특별시,2011,0.008159064824709718
서울특별시,2012,0.008162907427566545
서울특별시,2013,0.008286166866502758
서울특별시,2014,0.00838144408411112
서울특별시,2015,0.008441956273718985
서울특별시,2016,0.008582512701401248
서울특별시,2017,0.008702339230250909
서울특별시,2018,0.008867955126218307
서울특별시,2019,0.008980824205826615
서울특별시,2020,0.009075412671564718
서울특별시,2021,0.009375852600028706
서울특별시,2022,0.00957814739716296
서울특별시,2023,0.009710643476621804
서울특별시,2024,0.009929626411122522
세종특별자치시,2012,0.005631712215140138
세종특별자치시,2013,0.005770919583490151
