시도,시군구,산부인과,연도
충청남도,천안서북구,13,2020
충청남도,홍성군,3,2020
전라북도,군산시,7,2020
전라북도,김제시,2,2020
전라북도,남원시,2,2020
전라북도,부안군,1,2020
전라북도,완주군,1,2020
전라북도,익산시,10,2020
전라북도,전주덕진구,11,2020
전라북도,전주완산구,10,2020
전라북도,정읍시,4,2020
전라남도,고흥군,1,2020
전라남도,나주시,3,2020
전라남도,목포시,5,2020
전라남도,순천시,4,2020
전라남도,여수시,2,2020
전라남도,장흥군,1,2020
전라남도,해남군,1,2020
전라남도,화순군,1,2020
경상북도,경산시,7,2020
경상북도,경주시,5,2020
경상북도,구미시,15,2020
경상북도,김천시,5,2020
경상북도,문경시,3,2020
경상북도,상주시,2,2020
경상북도,안동시,4,2020
경상북도,영주시,3,2020
경상북도,영천시,1,2020
경상북도,칠곡군,2,2020
경상북도,포항남구,2,2020
경상북도,포항북구,4,2020
경상남도,거제시,3,2020
경상남도,김해시,9,2020
경상남도,남해군,1,2020
경상남도,밀양시,2,2020
경상남도,사천시,2,2020
경상남도,양산시,8,2020
경상남도,진주시,5,2020
경상남도,창녕군,1,2020
경상남도,창원마산합포구,6,2020
경상남도,창원마산회원구,7,2020
경상남도,창원성산구,3,2020
경상남도,창원의창구,6,2020
경상남도,창원진해구,3,2020
경상남도,통영시,2,2020
경상남도,함안군,1,2020
제주특별자치도,서귀포시,4,2020
제주특별자치도,제주시,19,2020
서울특별시,강남구,51,2021
서울특별시,강동구,19,2021
서울특별시,강북구,6,2021
서울특별시,강서구,19,2021
서울특별시,관악구,21,2021
서울특별시,광진구,12,2021
서울특별시,구로구,12,2021
서울특별시,금천구,10,2021
서울특별시,노원구,17,2021
서울특별시,도봉구,6,2021
서울특별시,동대문구,15,2021
서울특별시,동작구,9,2021
서울특별시,마포구,26,2021
서울특별시,서대문구,9,2021
서울특별시,서초구,36,2021
서울특별시,성동구,10,2021
서울특별시,성북구,12,2021
서울특별시,송파구,25,2021
서울특별시,양천구,15,2021
서울특별시,영등포구,17,2021
서울특별시,용산구,9,2021
서울특별시,은평구,12,2021
서울특별시,종로구,11,2021
서울특별시,중구,9,2021
서울특별시,중랑구,9,2021
부산광역시,부산강서구,1,2021
부산광역시,부산금정구,4,2021
부산광역시,부산기장군,3,2021
부산광역시,부산남구,5,2021
부산광역시,부산동구,1,2021
부산광역시,부산동래구,5,2021
부산광역시,부산북구,4,2021
부산광역시,부산사상구,4,2021
부산광역시,부산사하구,4,2021
부산광역시,부산서구,2,2021
부산광역시,부산수영구,3,2021
