년도,시도,시군구,산후조리원수,일반실_병실수,특실_병실수,총병실수
2020,서울,김천시,0,0,0,0
2020,서울,영천시,0,0,0,0
2020,서울,상주시,0,0,0,0
2020,서울,울진군,0,0,0,0
2020,서울,밀양시,0,0,0,0
2020,부산,종로구,0,0,0,0
2020,부산,중구,0,0,0,0
2020,부산,성동구,0,0,0,0
2020,부산,광진구,0,0,0,0
2020,부산,동대문구,0,0,0,0
2020,부산,중랑구,0,0,0,0
2020,부산,성북구,0,0,0,0
2020,부산,강북구,0,0,0,0
2020,부산,도봉구,0,0,0,0
2020,부산,노원구,0,0,0,0
2020,부산,은평구,0,0,0,0
2020,부산,서대문구,0,0,0,0
2020,부산,마포구,0,0,0,0
2020,부산,양천구,0,0,0,0
2020,부산,강서구,1,190,0,190
2020,부산,구로구,0,0,0,0
2020,부산,금천구,0,0,0,0
2020,부산,영등포구,0,0,0,0
2020,부산,동작구,0,0,0,0
2020,부산,관악구,0,0,0,0
2020,부산,서초구,0,0,0,0
2020,부산,강남구,0,0,0,0
2020,부산,송파구,0,0,0,0
2020,부산,강동구,0,0,0,0
2020,부산,서구,1,160,240,400
2020,부산,동구,2,410,340,750
2020,부산,부산진구,3,670,830,1500
2020,부산,동래구,1,200,380,580
2020,부산,남구,1,240,400,640
2020,부산,북구,4,630,845,1475
2020,부산,해운대구,4,1065,2579,3644
2020,부산,사하구,3,626,906,1532
2020,부산,금정구,2,400,580,980
2020,부산,연제구,2,360,460,820
2020,부산,수영구,2,320,458,778
2020,부산,기장군,2,179,239,418
2020,부산,수성구,0,0,0,0
2020,부산,달서구,0,0,0,0
2020,부산,달성군,0,0,0,0
2020,부산,미추홀구,0,0,0,0
2020,부산,연수구,0,0,0,0
2020,부산,남동구,0,0,0,0
2020,부산,부평구,0,0,0,0
2020,부산,계양구,0,0,0,0
2020,부산,광산구,0,0,0,0
2020,부산,유성구,0,0,0,0
2020,부산,세종시,0,0,0,0
2020,부산,고양시 덕양구,0,0,0,0
2020,부산,고양시 일산동구,0,0,0,0
2020,부산,고양시 일산서구,0,0,0,0
2020,부산,광명시,0,0,0,0
2020,부산,구리시,0,0,0,0
2020,부산,군포시,0,0,0,0
2020,부산,김포시,0,0,0,0
2020,부산,남양주시,0,0,0,0
2020,부산,남양주시(풍양),0,0,0,0
2020,부산,부천시 원미구,0,0,0,0
2020,부산,성남시 분당구,0,0,0,0
2020,부산,성남시 수정구,0,0,0,0
2020,부산,성남시 중원구,0,0,0,0
2020,부산,시흥시,0,0,0,0
2020,부산,안산시 단원구,0,0,0,0
2020,부산,안산시 상록구,0,0,0,0
2020,부산,안성시,0,0,0,0
2020,부산,안양시 동안구,0,0,0,0
2020,부산,안양시 만안구,0,0,0,0
2020,부산,양주시,0,0,0,0
2020,부산,오산시,0,0,0,0
2020,부산,용인시 기흥구,0,0,0,0
2020,부산,용인시 수지구,0,0,0,0
2020,부산,용인시 처인구,0,0,0,0
2020,부산,의왕시,0,0,0,0
2020,부산,의정부시,0,0,0,0
2020,부산,이천시,0,0,0,0
2020,부산,파주시,0,0,0,0
2020,부산,평택시평택,0,0,0,0
2020,부산,평택시송탄,0,0,0,0
2020,부산,하남시,0,0,0,0
2020,부산,화성시,0,0,0,0
2020,부산,수원시 장안구,0,0,0,0
2020,부산,수원시 권선구,0,0,0,0
2020,부산,수원시 팔달구,0,0,0,0
2020,부산,수원시 영통구,0,0,0,0
2020,부산,여주시,0,0,0,0
2020,부산,강릉시,0,0,0,0
2020,부산,동해시,0,0,0,0
2020,부산,삼척시,0,0,0,0
2020,부산,원주시,0,0,0,0
2020,부산,춘천시,0,0,0,0
2020,부산,철원군,0,0,0,0
2020,부산,천안시 동남구,0,0,0,0
2020,부산,천안시 서북구,0,0,0,0
2020,부산,공주시,0,0,0,0
2020,부산,아산시,0,0,0,0
2020,부산,서산시,0,0,0,0
2020,부산,당진시,0,0,0,0
2020,부산,청주시 상당구,0,0,0,0
2020,부산,청주시 서원구,0,0,0,0
2020,부산,청주시 흥덕구,0,0,0,0
2020,부산,청주시 청원구,0,0,0,0
2020,부산,충주시,0,0,0,0
2020,부산,군산시,0,0,0,0
2020,부산,전주시,0,0,0,0
2020,부산,익산시,0,0,0,0
2020,부산,정읍시,0,0,0,0
2020,부산,목포시,0,0,0,0
2020,부산,여수시,0,0,0,0
2020,부산,순천시,0,0,0,0
2020,부산,광양시,0,0,0,0
2020,부산,강진군,0,0,0,0
2020,부산,해남군,0,0,0,0
2020,부산,영광군,0,0,0,0
2020,부산,완도군,0,0,0,0
2020,부산,경산시,0,0,0,0
2020,부산,경주시,0,0,0,0
2020,부산,구미시,0,0,0,0
2020,부산,안동시,0,0,0,0
2020,부산,포항시(북구),0,0,0,0
2020,부산,거제시,0,0,0,0
2020,부산,김해시,0,0,0,0
2020,부산,양산시,0,0,0,0
2020,부산,진주시,0,0,0,0
2020,부산,창원시,0,0,0,0
2020,부산,통영시,0,0,0,0
2020,부산,제주시,0,0,0,0
2020,부산,서귀포시,0,0,0,0
2020,부산,용산구,0,0,0,0
2020,부산,수원시,0,0,0,0
2020,부산,용인시,0,0,0,0
2020,부산,고양시,0,0,0,0
2020,부산,성남시,0,0,0,0
2020,부산,부천시,0,0,0,0
2020,부산,안산시,0,0,0,0
2020,부산,평택시,0,0,0,0
2020,부산,안양시,0,0,0,0
2020,부산,포천시,0,0,0,0
2020,부산,화천군,0,0,0,0
2020,부산,양구군,0,0,0,0
2020,부산,청주시,0,0,0,0
2020,부산,천안시,0,0,0,0
2020,부산,홍성군,0,0,0,0
2020,부산,나주시,0,0,0,0
2020,부산,포항시,0,0,0,0
2020,부산,김천시,0,0,0,0
2020,부산,영천시,0,0,0,0
2020,부산,상주시,0,0,0,0
2020,부산,울진군,0,0,0,0
2020,부산,밀양시,0,0,0,0
2020,대구,종로구,0,0,0,0
2020,대구,중구,0,0,0,0
2020,대구,성동구,0,0,0,0
2020,대구,광진구,0,0,0,0
2020,대구,동대문구,0,0,0,0
2020,대구,중랑구,0,0,0,0
2020,대구,성북구,0,0,0,0
2020,대구,강북구,0,0,0,0
2020,대구,도봉구,0,0,0,0
2020,대구,노원구,0,0,0,0
2020,대구,은평구,0,0,0,0
2020,대구,서대문구,0,0,0,0
2020,대구,마포구,0,0,0,0
2020,대구,양천구,0,0,0,0
2020,대구,강서구,0,0,0,0
2020,대구,구로구,0,0,0,0
2020,대구,금천구,0,0,0,0
2020,대구,영등포구,0,0,0,0
2020,대구,동작구,0,0,0,0
