"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"광주광역시  (2900000000)","1,395,869","1,395,869","87,047","144,260","172,880","173,822","214,114","241,723","193,265","108,933","51,416","8,218","191","688,690","688,690","44,353","74,345","90,252","90,362","106,919","119,772","92,731","48,350","19,617","1,966","23","707,179","707,179","42,694","69,915","82,628","83,460","107,195","121,951","100,534","60,583","31,799","6,252","168"
"광주광역시 동구 (2911000000)","105,148","105,148","6,590","7,630","13,549","14,206","14,080","15,600","15,436","11,102","6,023","915","17","51,500","51,500","3,420","3,885","6,793","7,312","7,336","7,835","7,280","4,849","2,508","278","4","53,648","53,648","3,170","3,745","6,756","6,894","6,744","7,765","8,156","6,253","3,515","637","13"
"광주광역시 서구 (2914000000)","275,824","275,824","14,818","26,746","36,173","33,677","40,697","49,607","39,498","22,499","10,396","1,673","40","134,797","134,797","7,579","14,086","18,544","17,580","19,953","24,043","18,584","9,978","4,022","428","0","141,027","141,027","7,239","12,660","17,629","16,097","20,744","25,564","20,914","12,521","6,374","1,245","40"
"광주광역시 남구 (2915500000)","207,912","207,912","12,805","22,994","21,965","23,030","32,461","32,894","30,473","20,133","9,556","1,550","51","99,373","99,373","6,495","11,451","11,290","11,574","15,861","15,930","13,839","8,749","3,798","375","11","108,539","108,539","6,310","11,543","10,675","11,456","16,600","16,964","16,634","11,384","5,758","1,175","40"
"광주광역시 북구 (2917000000)","418,287","418,287","25,889","39,524","50,127","53,267","61,656","71,313","62,721","35,179","16,043","2,523","45","206,675","206,675","13,178","20,556","26,418","27,675","31,360","35,302","29,762","15,739","6,102","578","5","211,612","211,612","12,711","18,968","23,709","25,592","30,296","36,011","32,959","19,440","9,941","1,945","40"
"광주광역시 광산구 (2920000000)","388,698","388,698","26,945","47,366","51,066","49,642","65,220","72,309","45,137","20,020","9,398","1,557","38","196,345","196,345","13,681","24,367","27,207","26,221","32,409","36,662","23,266","9,035","3,187","307","3","192,353","192,353","13,264","22,999","23,859","23,421","32,811","35,647","21,871","10,985","6,211","1,250","35"
