"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"대전광역시  (3000000000)","1,442,046","1,442,046","87,324","135,917","189,274","194,321","210,031","242,883","208,249","113,663","51,539","8,621","224","718,579","718,579","44,944","69,786","98,771","103,436","105,187","121,200","101,078","52,303","19,685","2,152","37","723,467","723,467","42,380","66,131","90,503","90,885","104,844","121,683","107,171","61,360","31,854","6,469","187"
"대전광역시 동구 (3011000000)","219,500","219,500","11,229","18,503","28,307","25,475","29,519","36,391","35,307","22,225","10,871","1,626","47","110,479","110,479","5,839","9,480","15,010","13,839","15,422","19,008","17,265","10,067","4,143","395","11","109,021","109,021","5,390","9,023","13,297","11,636","14,097","17,383","18,042","12,158","6,728","1,231","36"
"대전광역시 중구 (3014000000)","226,133","226,133","11,914","19,634","25,364","26,309","31,305","38,723","35,581","23,685","11,697","1,873","48","110,827","110,827","6,047","10,035","12,773","13,645","15,780","19,667","17,249","10,548","4,554","520","9","115,306","115,306","5,867","9,599","12,591","12,664","15,525","19,056","18,332","13,137","7,143","1,353","39"
"대전광역시 서구 (3017000000)","463,867","463,867","27,939","46,062","64,036","65,290","69,633","77,150","63,566","33,456","14,228","2,453","54","227,254","227,254","14,366","23,646","32,050","34,082","33,984","37,412","30,178","15,405","5,521","603","7","236,613","236,613","13,573","22,416","31,986","31,208","35,649","39,738","33,388","18,051","8,707","1,850","47"
"대전광역시 유성구 (3020000000)","366,355","366,355","28,503","38,231","52,472","57,654","58,023","58,701","44,081","19,216","7,871","1,562","41","185,621","185,621","14,784","19,592","28,450","30,840","28,743","28,973","21,600","9,344","2,932","357","6","180,734","180,734","13,719","18,639","24,022","26,814","29,280","29,728","22,481","9,872","4,939","1,205","35"
"대전광역시 대덕구 (3023000000)","166,191","166,191","7,739","13,487","19,095","19,593","21,551","31,918","29,714","15,081","6,872","1,107","34","84,398","84,398","3,908","7,033","10,488","11,030","11,258","16,140","14,786","6,939","2,535","277","4","81,793","81,793","3,831","6,454","8,607","8,563","10,293","15,778","14,928","8,142","4,337","830","30"
