"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"울산광역시  (3100000000)","1,092,797","1,092,797","68,174","109,609","111,956","136,652","169,576","199,333","178,534","84,406","30,057","4,403","97","563,285","563,285","34,930","56,919","64,715","75,436","88,023","99,891","90,354","40,760","11,298","950","9","529,512","529,512","33,244","52,690","47,241","61,216","81,553","99,442","88,180","43,646","18,759","3,453","88"
"울산광역시 중구 (3111000000)","203,924","203,924","11,722","18,901","19,183","24,441","29,732","36,716","36,335","18,973","7,045","861","15","103,171","103,171","6,059","9,866","10,982","13,245","15,346","18,140","17,847","8,802","2,681","201","2","100,753","100,753","5,663","9,035","8,201","11,196","14,386","18,576","18,488","10,171","4,364","660","13"
"울산광역시 남구 (3114000000)","304,512","304,512","17,703","27,924","35,011","41,708","44,673","56,569","49,127","23,115","7,642","1,012","28","155,973","155,973","9,115","14,579","20,007","23,148","22,808","27,671","24,389","11,030","2,972","252","2","148,539","148,539","8,588","13,345","15,004","18,560","21,865","28,898","24,738","12,085","4,670","760","26"
"울산광역시 동구 (3117000000)","149,644","149,644","9,281","16,406","14,480","17,332","26,122","24,326","25,056","12,651","3,534","439","17","78,236","78,236","4,711","8,518","8,245","9,853","14,132","12,802","12,117","6,346","1,422","90","0","71,408","71,408","4,570","7,888","6,235","7,479","11,990","11,524","12,939","6,305","2,112","349","17"
"울산광역시 북구 (3120000000)","215,546","215,546","17,523","25,477","21,607","29,550","37,988","38,293","29,574","10,885","3,993","645","11","112,107","112,107","8,965","13,162","12,982","16,174","19,470","18,823","15,686","5,271","1,448","124","2","103,439","103,439","8,558","12,315","8,625","13,376","18,518","19,470","13,888","5,614","2,545","521","9"
"울산광역시 울주군 (3171000000)","219,171","219,171","11,945","20,901","21,675","23,621","31,061","43,429","38,442","18,782","7,843","1,446","26","113,798","113,798","6,080","10,794","12,499","13,016","16,267","22,455","20,315","9,311","2,775","283","3","105,373","105,373","5,865","10,107","9,176","10,605","14,794","20,974","18,127","9,471","5,068","1,163","23"
