"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"제주특별자치도  (5000000000)","665,276","665,276","44,729","70,129","66,283","76,989","102,755","119,265","98,029","53,049","27,909","5,933","206","332,332","332,332","22,853","36,080","35,390","39,145","51,823","61,642","49,291","24,496","10,373","1,226","13","332,944","332,944","21,876","34,049","30,893","37,844","50,932","57,623","48,738","28,553","17,536","4,707","193"
"제주특별자치도 제주시 (5011000000)","485,444","485,444","33,686","52,352","51,439","59,747","75,753","86,516","67,943","35,719","18,286","3,862","141","241,900","241,900","17,179","26,906","27,195","30,422","38,209","44,069","33,893","16,459","6,784","778","6","243,544","243,544","16,507","25,446","24,244","29,325","37,544","42,447","34,050","19,260","11,502","3,084","135"
"제주특별자치도 서귀포시 (5013000000)","179,832","179,832","11,043","17,777","14,844","17,242","27,002","32,749","30,086","17,330","9,623","2,071","65","90,432","90,432","5,674","9,174","8,195","8,723","13,614","17,573","15,398","8,037","3,589","448","7","89,400","89,400","5,369","8,603","6,649","8,519","13,388","15,176","14,688","9,293","6,034","1,623","58"
