"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"경기도 고양시 일산동구 (4128500000)","296,010","296,010","16,269","26,839","35,816","40,185","43,736","55,806","44,850","19,308","10,838","2,312","51","143,515","143,515","8,296","13,747","17,608","20,106","21,182","26,763","22,297","8,952","3,932","621","11","152,495","152,495","7,973","13,092","18,208","20,079","22,554","29,043","22,553","10,356","6,906","1,691","40"
"경기도 고양시 일산서구 (4128700000)","278,583","278,583","14,549","28,333","33,165","32,873","40,049","54,954","42,670","18,618","11,258","2,067","47","134,420","134,420","7,402","14,455","16,920","16,527","18,923","26,019","21,113","8,381","4,057","613","10","144,163","144,163","7,147","13,878","16,245","16,346","21,126","28,935","21,557","10,237","7,201","1,454","37"
"경기도 과천시 (4129000000)","79,941","79,941","8,244","8,082","8,193","12,169","12,870","11,983","10,540","4,925","2,384","536","15","38,943","38,943","4,198","4,104","4,158","5,833","6,369","5,702","5,142","2,336","938","160","3","40,998","40,998","4,046","3,978","4,035","6,336","6,501","6,281","5,398","2,589","1,446","376","12"
"경기도 구리시 (4131000000)","185,909","185,909","10,191","16,325","21,457","24,895","28,170","33,605","29,603","14,354","6,386","902","21","92,061","92,061","5,237","8,427","10,822","12,892","14,250","16,271","14,722","6,655","2,536","242","7","93,848","93,848","4,954","7,898","10,635","12,003","13,920","17,334","14,881","7,699","3,850","660","14"
"경기도 남양주시 (4136000000)","730,395","730,395","46,845","78,760","77,407","84,418","120,650","130,364","103,604","57,619","26,498","4,102","128","361,086","361,086","24,069","40,317","39,804","42,526","59,439","65,694","51,285","26,426","10,427","1,070","29","369,309","369,309","22,776","38,443","37,603","41,892","61,211","64,670","52,319","31,193","16,071","3,032","99"
"경기도 오산시 (4137000000)","247,468","247,468","17,994","26,904","28,652","39,551","46,295","40,670","27,926","12,797","5,831","829","19","129,102","129,102","9,210","13,805","15,618","22,012","24,953","21,282","13,975","5,906","2,144","194","3","118,366","118,366","8,784","13,099","13,034","17,539","21,342","19,388","13,951","6,891","3,687","635","16"
"경기도 시흥시 (4139000000)","514,702","514,702","38,453","51,988","58,146","74,195","89,407","92,509","69,343","26,739","11,855","2,008","59","268,118","268,118","19,550","26,591","31,530","39,886","48,011","48,313","36,807","12,836","4,168","416","10","246,584","246,584","18,903","25,397","26,616","34,309","41,396","44,196","32,536","13,903","7,687","1,592","49"
"경기도 군포시 (4141000000)","251,962","251,962","12,524","22,411","30,203","34,300","35,722","45,386","41,250","19,087","9,183","1,854","42","124,890","124,890","6,406","11,591","15,836","18,278","17,952","22,032","19,931","8,951","3,401","502","10","127,072","127,072","6,118","10,820","14,367","16,022","17,770","23,354","21,319","10,136","5,782","1,352","32"
"경기도 의왕시 (4143000000)","159,082","159,082","10,957","13,247","17,747","23,857","22,266","26,831","26,059","11,983","5,086","1,018","31","78,567","78,567","5,646","6,787","9,206","12,194","11,364","12,702","12,614","5,834","2,003","211","6","80,515","80,515","5,311","6,460","8,541","11,663","10,902","14,129","13,445","6,149","3,083","807","25"
"경기도 하남시 (4145000000)","327,853","327,853","26,736","33,440","33,339","49,270","59,877","49,573","42,359","23,569","8,292","1,358","40","162,770","162,770","13,812","16,782","16,507","24,388","30,393","25,174","20,503","11,425","3,479","300","7","165,083","165,083","12,924","16,658","16,832","24,882","29,484","24,399","21,856","12,144","4,813","1,058","33"
"경기도 용인시 (4146000000)","1,092,409","1,092,409","73,109","121,902","128,460","137,701","182,080","191,913","132,820","78,284","39,674","6,304","162","541,037","541,037","37,254","62,169","67,112","70,209","89,352","95,508","65,744","34,799","16,897","1,958","35","551,372","551,372","35,855","59,733","61,348","67,492","92,728","96,405","67,076","43,485","22,777","4,346","127"
"경기도 용인시 처인구 (4146100000)","283,122","283,122","17,944","27,060","32,608","37,322","44,457","49,142","41,887","21,337","9,618","1,708","39","144,909","144,909","9,114","13,872","17,863","20,124","23,274","25,256","21,220","10,092","3,657","429","8","138,213","138,213","8,830","13,188","14,745","17,198","21,183","23,886","20,667","11,245","5,961","1,279","31"
"경기도 용인시 기흥구 (4146300000)","434,701","434,701","27,461","48,899","53,495","52,139","71,408","79,552","51,578","31,059","16,378","2,653","79","213,991","213,991","14,122","24,973","27,887","26,702","34,529","39,145","25,206","13,527","7,018","865","17","220,710","220,710","13,339","23,926","25,608","25,437","36,879","40,407","26,372","17,532","9,360","1,788","62"
